timestamp,interrupt_count,adc_value
2026-02-04T14:35:45.857040,1,1950
2026-02-04T14:35:45.857040,2,1986
2026-02-04T14:35:45.857040,3,2065
2026-02-04T14:35:47.045389,1,2000
2026-02-04T14:35:47.045389,2,2025
2026-02-04T14:35:47.045389,3,2108
2026-02-04T14:35:47.045389,4,2173
2026-02-04T14:35:47.045389,5,2254
2026-02-04T14:35:47.045389,6,2319
2026-02-04T14:35:47.046390,7,2389
2026-02-04T14:35:47.047389,8,2448
2026-02-04T14:35:47.048389,9,2497
2026-02-04T14:35:47.049389,10,2544
2026-02-04T14:35:47.050389,11,2611
2026-02-04T14:35:47.051389,12,2671
2026-02-04T14:35:47.052390,13,2710
2026-02-04T14:35:47.053390,14,2734
2026-02-04T14:35:47.054390,15,2778
2026-02-04T14:35:47.055390,16,2821
2026-02-04T14:35:47.056389,17,2864
2026-02-04T14:35:47.057389,18,2885
2026-02-04T14:35:47.058389,19,2896
2026-02-04T14:35:47.059389,20,2896
2026-02-04T14:35:47.060389,21,2921
2026-02-04T14:35:47.061392,22,2927
2026-02-04T14:35:47.062389,23,2926
2026-02-04T14:35:47.063389,24,2926
2026-02-04T14:35:47.064389,25,2895
2026-02-04T14:35:47.065389,26,2894
2026-02-04T14:35:47.066389,27,2869
2026-02-04T14:35:47.067389,28,2867
2026-02-04T14:35:47.068389,29,2832
2026-02-04T14:35:47.069389,30,2771
2026-02-04T14:35:47.070389,31,2750
2026-02-04T14:35:47.071389,32,2706
2026-02-04T14:35:47.072390,33,2659
2026-02-04T14:35:47.073389,34,2635
2026-02-04T14:35:47.074391,35,2544
2026-02-04T14:35:47.075389,36,2497
2026-02-04T14:35:47.076389,37,2450
2026-02-04T14:35:47.077390,38,2384
2026-02-04T14:35:47.078389,39,2299
2026-02-04T14:35:47.079389,40,2244
2026-02-04T14:35:47.080389,41,2179
2026-02-04T14:35:47.081390,42,2089
2026-02-04T14:35:47.082390,43,2032
2026-02-04T14:35:47.083389,44,1956
2026-02-04T14:35:47.084389,45,1875
2026-02-04T14:35:47.085389,46,1794
2026-02-04T14:35:47.086388,47,1727
2026-02-04T14:35:47.087392,48,1663
2026-02-04T14:35:47.088392,49,1584
2026-02-04T14:35:47.089391,50,1474
2026-02-04T14:35:47.090392,51,1408
2026-02-04T14:35:47.091391,52,1335
2026-02-04T14:35:47.092391,53,1282
2026-02-04T14:35:47.093391,54,1201
